ins: 42160 32768
del: 85808 32768
dec: 3640 32768
ins: 86538 65536
del: 184655 65536
dec: 9033 65536
ins: 176989 131072
del: 395017 131072
dec: 19792 131072
ins: 359667 262144
del: 848645 262144
dec: 41028 262144
ins: 736030 524288
del: 1820436 524288
dec: 75107 524288
ins: 1489077 1048576
del: 3804522 1048576
dec: 152440 1048576
ins: 3061476 2097152
del: 7944831 2097152
dec: 323847 2097152
ins: 6169341 4194304
del: 16842817 4194304
dec: 600791 4194304
ins: 15596410 8388608
del: 36720449 8388608
dec: 1679226 8388608
ins: 33587026 16777216
del: 76049232 16777216
dec: 14136107 16777216
